Distance,Intensity
0.000,65528.0000
0.087,65520.9922
0.173,65534.9258
0.260,65531.9766
0.347,65514.0664
0.433,65529.0156
0.520,65520.0664
0.607,65515.9180
0.693,65520.0391
0.780,65523.8750
0.867,65518.9609
0.953,65534.0117
1.040,65533.7734
1.127,65516.0508
1.213,65534.9180
1.300,65513.3281
1.387,65515.8867
1.473,65524.0859
1.560,65531.8203
1.647,65534.5078
1.733,65518.9023
1.820,65508.5664
1.907,65534.9141
1.993,65532.5664
2.080,65533.6875
2.167,65516.9023
2.253,65503.2344
2.340,65515.5117
2.427,65529.7773
2.513,65511.0586
2.600,65515.3867
2.687,65519.3398
2.773,65519.1914
2.860,65530.6055
2.947,65524.3711
3.033,65534.8242
3.120,65513.5039
3.207,65482.0273
3.293,65517.3555
3.380,65529.1562
3.467,65517.6367
3.553,65514.8594
3.640,65529.7500
3.727,65519.4297
3.813,65526.1758
3.900,65509.1797
3.987,65527.8633
4.073,65511.7500
4.160,65532.5703
4.247,65517.2930
4.334,65529.4531
4.420,65518.8477
4.507,65516.9844
4.594,65512.9453
4.680,65533.6016
4.767,65519.3984
4.854,65521.2188
4.940,65510.9102
5.027,65534.3633
5.114,65510.8242
5.200,65514.3594
5.287,65532.9688
5.374,65522.8164
5.460,65534.3086
5.547,65521.7031
5.634,65528.3516
5.720,65532.6836
5.807,65518.3984
5.894,65532.5117
5.980,65517.0312
6.067,65533.8828
6.154,65523.3750
6.240,65527.7812
6.327,65530.2734
6.414,65500.3281
6.500,65535.0000
6.587,65525.8477
6.674,65513.7656
6.760,65507.1641
6.847,65512.5742
6.934,65527.8047
7.020,65512.8398
7.107,65522.5117
7.194,65524.9336
7.280,65525.8359
7.367,65517.9844
7.454,65518.4570
7.540,65522.1797
7.627,65507.4023
7.714,65514.4688
7.800,65514.2695
7.887,65521.4609
7.974,65508.5508
8.060,65519.5352
8.147,65506.4688
8.234,65510.0938
8.320,65499.8516
8.407,65506.4219
8.494,65497.4648
8.580,65502.5195
8.667,65493.5977
8.754,65508.0938
8.840,65495.0859
8.927,65489.4375
9.014,65493.3125
9.100,65506.6875
9.187,65503.5273
9.274,65495.0000
9.360,65500.2461
9.447,65498.8906
9.534,65496.2344
9.620,65496.1094
9.707,65494.7773
9.794,65509.7734
9.880,65506.9297
9.967,65514.4258
10.054,65516.1172
10.140,65500.1172
10.227,65497.6484
10.314,65511.3047
10.400,65501.6719
10.487,65504.2422
10.574,65523.2969
10.660,65508.2266
10.747,65511.1367
10.834,65524.6250
10.920,65517.7500
11.007,65511.2422
11.094,65510.2344
11.180,65501.4141
11.267,65514.6680
11.354,65517.4766
11.440,65531.7656
11.527,65509.9258
11.614,65498.8047
11.700,65515.2852
11.787,65522.6953
11.874,65504.7773
11.960,65528.8398
12.047,65500.7227
12.134,65504.9531
12.220,65518.8594
12.307,65512.7070
12.394,65516.4336
12.480,65504.7305
12.567,65519.5664
12.654,65516.3828
12.741,65517.7070
12.827,65513.4414
12.914,65508.1094
13.001,65502.9531
13.087,65513.2461
13.174,65518.7305
13.261,65520.6953
13.347,65520.5391
13.434,65515.3008
13.521,65505.3984
13.607,65502.3750
13.694,65519.0547
13.781,65497.8008
13.867,65506.1602
13.954,65504.3945
14.041,65511.3555
14.127,65518.5391
14.214,65509.8750
14.301,65513.3281
14.387,65511.6758
14.474,65497.8281
14.561,65508.5078
14.647,65508.3164
14.734,65524.7812
14.821,65515.0430
14.907,65504.6836
14.994,65512.1719
15.081,65502.7344
15.167,65508.5586
15.254,65508.5273
15.341,65505.4648
15.427,65509.5195
15.514,65511.1797
15.601,65498.7930
15.687,65498.4414
15.774,65502.5430
15.861,65511.1055
15.947,65515.2656
16.034,65525.6836
16.121,65507.9648
16.207,65508.6758
16.294,65512.7500
16.381,65511.1172
16.467,65518.0547
16.554,65518.4766
16.641,65500.5469
16.727,65516.9219
16.814,65519.6484
16.901,65506.3008
16.987,65523.4102
17.074,65509.4297
17.161,65505.5781
17.247,65517.0000
17.334,65518.0000
17.421,65514.6016
17.507,65516.3906
17.594,65517.3711
17.681,65510.0000
17.767,65507.9805
17.854,65512.3828
17.941,65495.6484
18.027,65512.4766
18.114,65512.2891
18.201,65508.5547
18.287,65496.4219
18.374,65511.5781
18.461,65509.9688
18.547,65507.7383
18.634,65503.0742
18.721,65493.4805
18.807,65496.5938
18.894,65499.9531
18.981,65496.7812
19.067,65498.9062
19.154,65504.9180
19.241,65499.8828
19.327,65494.7773
19.414,65497.8906
19.501,65495.4297
19.587,65499.3242
19.674,65496.1289
19.761,65499.3203
19.847,65504.0547
19.934,65503.0000
20.021,65489.2930
20.107,65509.0742
20.194,65503.5703
20.281,65514.8711
20.367,65500.1055
20.454,65509.2344
20.541,65520.7500
20.627,65513.2578
20.714,65506.3320
20.801,65513.9805
20.888,65511.2812
20.974,65513.2773
21.061,65526.3711
21.148,65524.9531
21.234,65523.8047
21.321,65523.8164
21.408,65515.2930
21.494,65516.9766
21.581,65530.2656
21.668,65522.2617
21.754,65516.5000
21.841,65522.9805
21.928,65516.2617
22.014,65525.9883
22.101,65514.0000
22.188,65519.5508
22.274,65528.6484
22.361,65518.0820
22.448,65523.8086
22.534,65515.1172
22.621,65531.9219
22.708,65516.0430
22.794,65526.7852
22.881,65518.8906
22.968,65504.5820
23.054,65515.7344
23.141,65521.8086
23.228,65519.8008
23.314,65513.9297
23.401,65511.3438
23.488,65517.3789
23.574,65523.4141
23.661,65519.8242
23.748,65516.3633
23.834,65508.8203
23.921,65510.0703
24.008,65519.1367
24.094,65530.1680
24.181,65523.1133
24.268,65502.3477
24.354,65514.1211
24.441,65499.2461
24.528,65518.3828
24.614,65521.3750
24.701,65521.5664
24.788,65524.4297
24.874,65515.7148
24.961,65512.8672
25.048,65512.0000
25.134,65514.4453
25.221,65516.1016
25.308,65517.6875
25.394,65511.0430
25.481,65520.9219
25.568,65515.7695
25.654,65517.0117
25.741,65531.4492
25.828,65529.6250
25.914,65524.4688
26.001,65513.2969
26.088,65510.8047
26.174,65526.6094
26.261,65522.1367
26.348,65527.5508
26.434,65519.0117
26.521,65535.0000
26.608,65505.0000
26.694,65520.8516
26.781,65515.5391
26.868,65509.8398
26.954,65528.0000
27.041,65520.9609
27.128,65506.5195
27.214,65522.3750
27.301,65514.8242
27.388,65507.5195
27.474,65511.2109
27.561,65525.4336
27.648,65508.5898
27.734,65524.1641
27.821,65514.1562
27.908,65521.3203
27.994,65503.8945
28.081,65507.7461
28.168,65523.5820
28.254,65504.7773
28.341,65503.2578
28.428,65498.3281
28.514,65493.3789
28.601,65503.3555
28.688,65496.6367
28.774,65498.6602
28.861,65490.0000
28.948,65497.6719
29.034,65497.0000
29.121,65491.0000
29.208,65501.0000
29.295,65487.6836
29.381,65492.3516
29.468,65497.3555
29.555,65496.6602
29.641,65498.3398
29.728,65493.7812
29.815,65505.6562
29.901,65505.0000
29.988,65497.3047
30.075,65505.6172
30.161,65519.6133
30.248,65512.0000
30.335,65520.6055
30.421,65508.2930
30.508,65513.8320
30.595,65510.0781
30.681,65528.7109
30.768,65528.2812
30.855,65503.9102
30.941,65522.1992
31.028,65525.2773
31.115,65520.7227
31.201,65520.8867
31.288,65518.7969
31.375,65527.0000
31.461,65529.2148
31.548,65526.5391
31.635,65527.0898
31.721,65535.0000
31.808,65524.2148
31.895,65520.3320
31.981,65522.0586
32.068,65508.3672
32.155,65514.4766
32.241,65515.3359
32.328,65529.3438
32.415,65527.1172
32.501,65507.5078
32.588,65524.6328
32.675,65522.3711
32.761,65515.7188
32.848,65515.4883
32.935,65525.5391
33.021,65519.9336
33.108,65510.3906
33.195,65517.1836
33.281,65520.6172
33.368,65517.3008
33.455,65529.4609
33.541,65512.8672
33.628,65523.1367
33.715,65519.4492
33.801,65521.4062
33.888,65519.5586
33.975,65517.7344
34.061,65527.9531
34.148,65523.6836
34.235,65522.1328
34.321,65516.8320
34.408,65511.6289
34.495,65525.8281
34.581,65522.3828
34.668,65532.2109
34.755,65519.3828
34.841,65532.5977
34.928,65529.0156
35.015,65522.1719
35.101,65528.9492
35.188,65515.2773
35.275,65519.5391
35.361,65522.2773
35.448,65526.1836
35.535,65524.7344
35.621,65515.5898
35.708,65527.7188
35.795,65531.2969
35.881,65518.1250
35.968,65529.2812
36.055,65521.3438
36.141,65528.7695
36.228,65526.6641
36.315,65524.5664
36.401,65532.3281
36.488,65529.1914
36.575,65515.2617
36.661,65525.1641
36.748,65514.6875
36.835,65525.6562
36.921,65532.0312
37.008,65528.5508
37.095,65524.0312
37.181,65528.1445
37.268,65529.4336
37.355,65534.5703
37.441,65524.4062
37.528,65529.4141
37.615,65527.0508
37.702,65514.3672
37.788,65523.3945
37.875,65531.9531
37.962,65526.7109
38.048,65514.3750
38.135,65517.4922
38.222,65516.7578
38.308,65523.2031
38.395,65510.2344
38.482,65505.7500
38.568,65514.8633
38.655,65501.7773
38.742,65510.1016
38.828,65502.1094
38.915,65495.2344
39.002,65496.4805
39.088,65506.1016
39.175,65494.5039
39.262,65503.6094
39.348,65509.5469
39.435,65498.8281
39.522,65499.2734
39.608,65505.8945
39.695,65503.8945
39.782,65506.9141
39.868,65499.0000
39.955,65512.8047
40.042,65504.7188
40.128,65515.7734
40.215,65516.6875
40.302,65516.2227
40.388,65511.5742
40.475,65523.9297
40.562,65513.2695
40.648,65519.3359
40.735,65529.7852
40.822,65531.7148
40.908,65521.5391
40.995,65531.1172
41.082,65535.0000
41.168,65535.0000
41.255,65518.7852
41.342,65533.4258
41.428,65526.0938
41.515,65533.0898
41.602,65530.8672
41.688,65516.9766
41.775,65522.4805
41.862,65531.3672
41.948,65517.4961
42.035,65523.4062
42.122,65534.4844
42.208,65526.2109
42.295,65521.8867
42.382,65531.9219
42.468,65526.7031
42.555,65532.4453
42.642,65535.0000
42.728,65530.0898
42.815,65531.4453
42.902,65525.0156
42.988,65527.9648
43.075,65525.9102
43.162,65514.5352
43.248,65532.0000
43.335,65530.9844
43.422,65520.4961
43.508,65523.5000
43.595,65516.0039
43.682,65534.4961
43.768,65515.9805
43.855,65529.4570
43.942,65523.4570
44.028,65524.4453
44.115,65533.4805
44.202,65531.5547
44.288,65511.8555
44.375,65532.4492
44.462,65526.6875
44.548,65516.1758
44.635,65527.3047
44.722,65526.3203
44.808,65531.3945
44.895,65523.1328
44.982,65526.0352
45.068,65530.8555
45.155,65526.1797
45.242,65526.8398
45.328,65527.4805
45.415,65529.2617
45.502,65529.9531
45.588,65528.8125
45.675,65529.7734
45.762,65531.3711
45.848,65521.6250
45.935,65524.2227
46.022,65521.9414
46.109,65514.8281
46.195,65532.6562
46.282,65530.3203
46.369,65515.5391
46.455,65517.7969
46.542,65524.8125
46.629,65524.7852
46.715,65524.2617
46.802,65519.9414
46.889,65530.3867
46.975,65528.4766
47.062,65522.4883
47.149,65511.8281
47.235,65520.1133
47.322,65535.0000
47.409,65525.0898
47.495,65531.1797
47.582,65530.4531
47.669,65517.3320
47.755,65533.6445
47.842,65528.9531
47.929,65532.2461
48.015,65527.0000
48.102,65530.0820
48.189,65518.0156
48.275,65521.3281
48.362,65512.7773
48.449,65512.4336
48.535,65514.2305
48.622,65514.9102
48.709,65502.8789
48.795,65503.1016
48.882,65486.3164
48.969,65496.5039
49.055,65496.6914
49.142,65499.0352
49.229,65498.1211
49.315,65495.9688
49.402,65501.5938
49.489,65495.3125
49.575,65496.1406
49.662,65496.0000
49.749,65489.8594
49.835,65498.7109
49.922,65514.2773
50.009,65500.9531
50.095,65501.8477
50.182,65510.8906
50.269,65505.4219
50.355,65496.5234
50.442,65510.8555
50.529,65517.5781
50.615,65521.0703
50.702,65512.8281
50.789,65513.6602
50.875,65520.9375
50.962,65520.3711
51.049,65521.7344
51.135,65532.6484
51.222,65518.8164
51.309,65532.0508
51.395,65525.9922
51.482,65526.9023
51.569,65533.8164
51.655,65521.5352
51.742,65527.9453
51.829,65534.4062
51.915,65525.3203
52.002,65514.1836
52.089,65518.9727
52.175,65524.9883
52.262,65517.1914
52.349,65521.2031
52.435,65520.4375
52.522,65527.7578
52.609,65534.3945
52.695,65515.5234
52.782,65532.6406
52.869,65535.0000
52.955,65514.6133
53.042,65526.9258
53.129,65526.7148
53.215,65520.0664
53.302,65514.0000
53.389,65521.4961
53.475,65513.4922
53.562,65511.4648
53.649,65533.1523
53.735,65517.9141
53.822,65519.0820
53.909,65521.3359
53.995,65524.4141
54.082,65523.1875
54.169,65521.7734
54.256,65520.1172
54.342,65519.0000
54.429,65529.2500
54.516,65509.3477
54.602,65531.6484
54.689,65529.7422
54.776,65530.5547
54.862,65527.9805
54.949,65532.4219
55.036,65527.8984
55.122,65523.0664
55.209,65521.3672
55.296,65529.9180
55.382,65522.7266
55.469,65497.8242
55.556,65514.9141
55.642,65516.6523
55.729,65519.5625
55.816,65509.3594
55.902,65519.0000
55.989,65529.6523
56.076,65517.1328
56.162,65510.0000
56.249,65528.5352
56.336,65518.7070
56.422,65516.8438
56.509,65527.6367
56.596,65527.1055
56.682,65523.2734
56.769,65527.5664
56.856,65519.7617
56.942,65526.8164
57.029,65520.7891
57.116,65524.6250
57.202,65512.0273
57.289,65529.8750
57.376,65513.5273
57.462,65527.3789
57.549,65514.0312
57.636,65520.3242
57.722,65519.0586
57.809,65513.9805
57.896,65514.3750
57.982,65525.0039
58.069,65524.3359
58.156,65511.9805
58.242,65519.3555
58.329,65516.7031
58.416,65521.5742
58.502,65517.6875
58.589,65531.6523
58.676,65507.4414
58.762,65517.7773
58.849,65506.2031
58.936,65505.3555
59.022,65501.1055
59.109,65502.1875
59.196,65499.0391
59.282,65492.4062
59.369,65492.8594
59.456,65498.5156
59.542,65498.3164
59.629,65495.5195
59.716,65503.6289
59.802,65490.2500
59.889,65504.5703
59.976,65499.7578
60.062,65495.7344
60.149,65504.0000
60.236,65493.9219
60.322,65504.2266
60.409,65509.4727
60.496,65516.5234
60.582,65518.4062
60.669,65514.4219
60.756,65514.0352
60.842,65518.9023
60.929,65523.0039
61.016,65520.7930
61.102,65533.8086
61.189,65531.1406
61.276,65519.5898
61.362,65521.0625
61.449,65528.2422
61.536,65520.5859
61.622,65529.7461
61.709,65528.3477
61.796,65519.2617
61.882,65514.1133
61.969,65517.4375
62.056,65535.0000
62.142,65535.0000
62.229,65533.2891
62.316,65527.6211
62.402,65512.6250
62.489,65517.2266
62.576,65533.8750
62.663,65522.0781
62.749,65526.3477
62.836,65531.0547
62.923,65528.7852
63.009,65519.5859
63.096,65518.6484
63.183,65534.2734
63.269,65523.4531
63.356,65526.5703
63.443,65519.6875
63.529,65531.4922
63.616,65532.0742
63.703,65529.9297
63.789,65516.4688
63.876,65517.7344
63.963,65531.7344
64.049,65528.3750
64.136,65522.0000
64.223,65517.2852
64.309,65518.7812
64.396,65524.8203
64.483,65513.2930
64.569,65528.3203
64.656,65528.1719
64.743,65520.3516
64.829,65525.7266
64.916,65522.4453
65.003,65521.9648
65.089,65529.2617
65.176,65528.9844
65.263,65512.7500
65.349,65508.2383
65.436,65515.7773
65.523,65531.5430
65.609,65514.0000
65.696,65513.1055
65.783,65515.1719
65.869,65514.0742
65.956,65527.1289
66.043,65517.5898
66.129,65515.3203
66.216,65522.4766
66.303,65527.5703
66.389,65527.3125
66.476,65511.9570
66.563,65514.1172
66.649,65512.7031
66.736,65506.7656
66.823,65535.0000
66.909,65513.1562
66.996,65524.8477
67.083,65509.9766
67.169,65513.9141
67.256,65513.4062
67.343,65521.0352
67.429,65526.9492
67.516,65523.8438
67.603,65505.3398
67.689,65503.9961
67.776,65511.7891
67.863,65511.0000
67.949,65516.8477
68.036,65522.5273
68.123,65529.4805
68.209,65517.0000
68.296,65525.3438
68.383,65526.3555
68.469,65527.3750
68.556,65521.0312
68.643,65520.0547
68.729,65504.6289
68.816,65510.0469
68.903,65514.8750
68.989,65514.6133
69.076,65499.0000
69.163,65489.8711
69.249,65506.0000
69.336,65500.3594
69.423,65495.3945
69.509,65496.9883
69.596,65487.6016
69.683,65492.9922
69.769,65485.7852
69.856,65496.0000
69.943,65493.0000
70.029,65495.3906
70.116,65496.9727
70.203,65495.5469
70.289,65489.5391
70.376,65505.1328
70.463,65505.6641
70.549,65499.1367
70.636,65506.4336
70.723,65497.0586
70.810,65521.8633
70.896,65531.7773
70.983,65492.7383
71.070,65520.5195
71.156,65519.0820
71.243,65529.2695
71.330,65527.2617
71.416,65532.4883
71.503,65522.1406
71.590,65509.0625
71.676,65523.8242
71.763,65533.4219
71.850,65516.6602
71.936,65529.2266
72.023,65530.7266
72.110,65524.3438
72.196,65503.4297
72.283,65524.5234
72.370,65516.5234
72.456,65503.8516
72.543,65511.3320
72.630,65532.0234
72.716,65532.6719
72.803,65514.1641
72.890,65507.9727
72.976,65500.1328
73.063,65519.4414
73.150,65525.6797
73.236,65508.1602
73.323,65521.5195
73.410,65522.4648
73.496,65522.8438
73.583,65526.5430
73.670,65531.4727
73.756,65532.2578
73.843,65527.0898
73.930,65533.1523
74.016,65517.8047
74.103,65513.5234
74.190,65528.3789
74.276,65526.8555
74.363,65523.8359
74.450,65521.3125
74.536,65527.8516
74.623,65517.7070
74.710,65515.2539
74.796,65528.1406
74.883,65518.6953
74.970,65519.4922
75.056,65516.8867
75.143,65528.8164
75.230,65507.8945
75.316,65515.4219
75.403,65514.3320
75.490,65517.9258
75.576,65513.5781
75.663,65527.1758
75.750,65518.4609
75.836,65526.6875
75.923,65522.7852
76.010,65508.4922
76.096,65513.7539
76.183,65522.7422
76.270,65535.0000
76.356,65533.7734
76.443,65515.5703
76.530,65520.3633
76.616,65522.6719
76.703,65525.8008
76.790,65511.8828
76.876,65516.1641
76.963,65533.4961
77.050,65519.3672
77.136,65525.9766
77.223,65533.5508
77.310,65530.1133
77.396,65512.5547
77.483,65509.0156
77.570,65532.2852
77.656,65522.2773
77.743,65512.0664
77.830,65526.0000
77.916,65511.5117
78.003,65515.8281
78.090,65528.9727
78.176,65514.3047
78.263,65525.6914
78.350,65526.0039
78.436,65533.3242
78.523,65511.7070
78.610,65511.0977
78.696,65529.4258
78.783,65514.8516
78.870,65517.1289
78.956,65516.4062
79.043,65507.9922
79.130,65510.8203
79.216,65510.2070
79.303,65494.2656
79.390,65503.4375
79.477,65498.0859
79.563,65494.4297
79.650,65489.5078
79.737,65499.5820
79.823,65493.8359
79.910,65497.9180
79.997,65493.2422
80.083,65505.5664
80.170,65511.0547
80.257,65502.7656
80.343,65493.3086
80.430,65496.0000
80.517,65493.3750
80.603,65508.3281
80.690,65515.7109
80.777,65513.4258
80.863,65516.7188
80.950,65518.2344
81.037,65520.0000
81.123,65531.4570
81.210,65514.4688
81.297,65533.1328
81.383,65519.2578
81.470,65520.6797
81.557,65516.2500
81.643,65530.1250
81.730,65526.1484
81.817,65514.3164
81.903,65503.9375
81.990,65510.2148
82.077,65522.1719
82.163,65523.6133
82.250,65528.6719
82.337,65520.8398
82.423,65528.1602
82.510,65510.8281
82.597,65515.3047
82.683,65534.2539
82.770,65526.4375
82.857,65512.0039
82.943,65514.9844
83.030,65534.2227
83.117,65534.5508
83.203,65522.7383
83.290,65515.7852
83.377,65509.7539
83.463,65511.4102
83.550,65526.9609
83.637,65517.6992
83.723,65524.6953
83.810,65502.9219
83.897,65529.5703
83.983,65515.2109
84.070,65525.6602
84.157,65523.1641
84.243,65513.2852
84.330,65534.8164
84.417,65527.2383
84.503,65526.5938
84.590,65520.1133
84.677,65518.4023
84.763,65534.8945
84.850,65521.3477
84.937,65534.3320
85.023,65534.6094
85.110,65506.3711
85.197,65526.1875
85.283,65526.1602
85.370,65527.8125
85.457,65535.0000
85.543,65510.4062
85.630,65520.1445
85.717,65528.7617
85.803,65518.1133
85.890,65526.8828
85.977,65519.0000
86.063,65534.9453
86.150,65531.8711
86.237,65526.7930
86.323,65525.0078
86.410,65512.0156
86.497,65534.8789
86.583,65528.9805
86.670,65534.9688
86.757,65523.9922
86.843,65534.9844
86.930,65535.0000
87.017,65526.0000
87.103,65528.0078
87.190,65530.0117
87.277,65534.9688
87.363,65532.9805
87.450,65514.0664
87.537,65535.0000
87.624,65520.0195
87.710,65529.9609
87.797,65519.0352
87.884,65524.1094
87.970,65528.9570
88.057,65510.1445
88.144,65498.1680
88.230,65534.7500
88.317,65520.0898
88.404,65524.0312
88.490,65524.0508
88.577,65534.5508
88.664,65523.0391
88.750,65522.8203
88.837,65518.1680
88.924,65512.3945
89.010,65524.4961
89.097,65523.7383
